id,X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
245,2,8,77,67,81,1.4142135623731,0.547722557505166,1,10412,7610,15405,73.509636556486,233.780880313168,386.496054313624
249,0,0,75,82,83,1.14017542509914,1.22474487139159,1.22474487139159,9152,15572,21292,250.176537668903,299.578203479492,563.815040593988
250,1,2,69,73,83,0.836660026534076,1.14017542509914,0.774596669241483,8056,13247,16725,185.112398288175,169.811071488287,158.432319935044
251,2,2,75,73,84,1.14017542509914,1.04880884817015,1.26491106406735,6756,13894,15930,252.272669942663,211.554484707841,364.480863695201
252,3,2,67,82,78,0.894427190999916,2.12132034355964,1.18321595661992,6222,14604,14898,107.299114628221,301.59525858342,396.746140497926
253,4,2,66,86,87,1.34164078649987,1.30384048104053,1.54919333848297,5095,15463,13566,190.220924190795,449.721914075799,292.558028431968
254,5,2,69,76,78,1.14017542509914,1,1.22474487139159,3732,15079,12028,264.445079364317,1103.04913761808,188.711684852846
255,6,2,61,86,82,1.26491106406735,1.7606816861659,1.8165902124585,3107,13916,13152,253.193601814896,211.173625247094,2407.53438189364
256,7,2,66,82,83,1.22474487139159,0.774596669241483,1.09544511501033,2788,14760,12077,205.463135379561,276.613267939193,255.907795895319
257,8,2,68,77,80,1.22474487139159,0.447213595499958,1.37840487520902,1751,17083,11607,219.434272619388,139.414489921242,511.991992124877
258,9,2,65,83,78,1,0.894427190999916,1.18321595661992,2091,18563,11518,279.007168366693,289.524092261767,268.897006305388
259,10,2,67,86,72,1.44913767461894,0.632455532033676,1.04880884817015,1683,19166,9668,176.560471227282,317.163049550227,212.749618096014
260,11,2,64,86,72,1.09544511501033,1.94935886896179,1.37840487520902,2885,18968,7491,255.516339986311,319.397871001045,276.358281945738
261,12,2,71,86,66,1.6431676725155,1,0.707106781186548,4883,20497,7844,221.956977813269,445.194451897146,180.253155312189
262,13,2,73,89,69,1,0.707106781186548,0.948683298050514,6019,20722,7158,217.319120189642,411.241534867285,177.787794856677
263,13,1,73,86,71,1.44913767461894,1.26491106406735,1.37840487520902,5026,19422,8135,274.115121801042,288.582917027325,168.723442354641
264,14,1,72,89,67,1.30384048104053,1.7606816861659,1.09544511501033,6146,19116,8200,132.291723097101,297.001683496912,246.161532331922
265,15,1,74,91,79,0.836660026534076,1.54919333848297,1.8165902124585,8537,21339,9186,200.56445348067,247.719599547553,695.768424118255
266,16,1,79,90,79,0.836660026534076,1.58113883008419,1.58113883008419,8589,21808,8668,246.180015435859,305.653889227669,276.394464488709
267,17,1,78,88,71,1.22474487139159,1.34164078649987,0.836660026534076,8506,22655,8153,227.943852735712,592.68465477014,112.349454827338
268,17,2,76,89,78,1.22474487139159,0.632455532033676,1.51657508881031,9832,21398,7505,171.886590518283,676.847397867496,163.422458676891
269,16,2,78,88,71,1.26491106406735,0.948683298050514,0.547722557505166,9155,21487,7476,358.325829378793,312.133625231246,157.339759755759
270,16,3,78,87,74,1.20185042515466,1.30384048104053,1.78885438199983,9261,19056,7367,109.707186030208,303.335787535859,168.821207198622
271,17,3,78,85,68,1.34164078649987,1.22474487139159,1.22474487139159,9997,21055,6995,190.991622852941,304.909166802181,296.135948510139
272,17,4,77,86,68,1.58113883008419,1.04880884817015,0.707106781186548,10107,18711,5875,171.85313497286,190.231963665416,249.848354006986
273,16,4,81,92,76,1,1.67332005306815,0.894427190999916,9977,17601,5298,429.606098653173,243.469710641796,192.943774193416
274,16,5,76,89,70,1.18321595661992,0.948683298050514,0.836660026534076,9901,17422,4930,321.327558730962,192.582969132787,113.33887241366
275,17,5,76,85,69,1.18321595661992,1.37840487520902,0.707106781186548,10259,21626,4339,238.55250994278,1870.2600621304,295.675666905479
276,17,6,84,91,65,1.04880884817015,1.34164078649987,1.04880884817015,10209,18764,4022,400.588192536924,290.436740100146,297.464955919181
277,17,7,75,89,68,0.632455532033676,2.70185121722126,1,11407,18029,2958,312.497039985981,359.235298933721,264.771033158841
278,17,8,80,88,65,1.54919333848297,1.4142135623731,0.632455532033676,12083,16982,2039,321.636129811313,290.898607765661,179.635185862904
279,16,8,71,85,69,0.774596669241483,1.18321595661992,1.8165902124585,11665,15743,1303,211.673569441251,201.265993153339,432.471848794809
280,16,9,82,85,59,1.78885438199983,1.44913767461894,1.44913767461894,12859,15401,552,274.195915359803,222.172005437229,214.240285660751
281,17,9,77,90,65,0.707106781186548,1.14017542509914,1.37840487520902,13905,15292,1298,321.210989849351,164.359362374037,227.004184983449
282,17,10,82,76,60,1.1180339887499,1.4142135623731,1.22474487139159,14030,14998,708,718.597157662066,172.095540325716,170.805078964298
283,16,10,79,77,58,0.632455532033676,0.547722557505166,0.774596669241483,14611,14663,360,979.272025537338,258.640870706855,181.014916512424
284,16,11,82,77,67,1.22474487139159,1.61245154965971,1.26491106406735,15129,13861,738,331.106478341938,287.876362350228,105.575565354868
285,17,11,77,82,66,0.836660026534076,1.89736659610103,0.894427190999916,14663,14384,2060,340.936651007192,326.056743527871,355.203322056537
286,18,11,83,84,66,0.894427190999916,1.14017542509914,0.447213595499958,14788,15814,2182,303.089920650621,236.645515486772,211.762602930735
287,18,10,80,83,60,0.774596669241483,1.14017542509914,1.09544511501033,13664,15973,2046,298.026173347241,204.008578251014,228.78745594984
288,15,11,86,80,61,2.62678510731274,1.14017542509914,1.48323969741913,14126,13496,178,357.215621158986,224.867294198156,209.59866411788
289,14,11,79,83,61,1.04880884817015,1.87082869338697,1.4142135623731,13410,12372,524,262.637392615751,204.056609792479,138.466963568932
290,14,10,82,86,65,1.22474487139159,1.7606816861659,1.34164078649987,12216,13305,510,239.959996666111,289.840990889833,367.327102185504
291,13,10,78,84,69,0.774596669241483,1.26491106406735,1,11857,12067,971,181.18940366368,262.57513210508,168.516171330825
292,13,9,76,82,62,1.14017542509914,0.707106781186548,0.836660026534076,11044,13431,1056,372.604616181818,296.502782449002,124.024594335156
293,13,8,80,84,63,1.04880884817015,1.18321595661992,1.58113883008419,10119,13367,1701,326.582608232588,771.657825723293,210.653981685607
294,13,7,77,89,66,1.44913767461894,1.61245154965971,1.37840487520902,10023,13862,2933,467.10694706887,616.798670556284,630.692635124273
295,13,6,74,86,70,1,1.09544511501033,0.836660026534076,7300,14725,3565,190.954706671504,233.37459159043,290.310351176116
296,13,5,77,86,68,0,1.26491106406735,1.44913767461894,6308,15002,4054,0,132.0624852106,189.385585512731
297,13,4,75,84,71,0,0.707106781186548,0.836660026534076,5938,19375,4842,178,918.941184189717,197.524682002022
298,13,3,69,90,72,0.707106781186548,1.58113883008419,1.26491106406735,6718,18915,6014,351.500355618597,307.619570248708,521.986206714315
299,12,3,65,92,67,0,1.37840487520902,1.18321595661992,5071,19853,6376,61,1029.22878894831,153.291552278656
300,12,4,69,88,67,0.707106781186548,1.37840487520902,1.37840487520902,5658,21071,5531,41,1926.91655242255,130.969843857279
301,12,5,68,88,68,0,1,0.836660026534076,5885,19289,4374,1.58113883008419,473.429614620801,181.993955943597
302,12,6,77,86,64,0.866025403784439,0.948683298050514,0.547722557505166,9082,16737,3974,497.358271269314,212.173278242101,128.921681652079
303,12,7,78,90,67,0.816496580927726,0.836660026534076,2.07364413533277,9989,13684,3812,315.622136950711,175.246397965836,89.0269622080861
304,12,8,77,92,60,0,1,0.836660026534076,8755,13733,3276,0,173.116434806173,121.035118870516
305,12,9,79,89,66,0,1.14017542509914,1.14017542509914,11786,13259,2372,0,465.340950271948,172.012499545818
306,12,10,77,81,68,0.816496580927726,0.894427190999916,0.836660026534076,11966,12010,1782,138.458176597363,278.881695347687,123.666891284612
307,12,12,77,77,68,1,1.04880884817015,1.37840487520902,12893,10578,2532,27.9597925600316,294.686782872934,110.967562828063
308,12,13,80,76,68,0,1.30384048104053,0.894427190999916,13790,10119,2948,229.870978304497,68.2400175849919,97.3812096864688
309,12,14,80,84,66,0,1.04880884817015,1.04880884817015,15405,9868,3769,103.713065714981,203.121638433723,217.599862132309
310,11,14,79,75,67,0.577350269189626,1.22474487139159,0.836660026534076,14916,9608,5339,357.025209193973,217.719085061462,120.549160096618
311,11,13,75,79,65,0.577350269189626,0.948683298050514,0.948683298050514,13348,8409,5087,56.3264295572395,137.992753432925,117.667327665754
312,11,12,80,74,79,0.816496580927726,0.774596669241483,0.948683298050514,12675,8451,6283,270.537120065497,146.271665061966,226.58398001624
313,11,11,77,82,70,0.577350269189626,1.58113883008419,1.18321595661992,13077,10210,3565,126.388290596875,261.488049440123,204.95365329752
314,11,10,70,88,65,0.707106781186548,1.58113883008419,0.707106781186548,11610,12433,3419,59.502100803249,1044.83979633243,252.19773987885
315,11,9,70,87,68,0.707106781186548,1.18321595661992,1.54919333848297,10553,11923,3295,323,268.757697564181,287.202367678263
316,11,8,74,88,67,0.707106781186548,1.30384048104053,1.04880884817015,9940,12583,3720,370.587034311779,575.755156294757,135.57617784847
317,11,7,82,86,70,0,2.25831795812724,0.774596669241483,9787,13161,3932,0,578.710549411362,144.260528211982
318,11,6,68,79,72,0.816496580927726,0.547722557505166,1.34164078649987,7601,16702,4900,111.124554742265,229.707204937068,135.945945139971
319,11,5,84,84,78,0.816496580927726,1.04880884817015,1.22474487139159,6768,13946,5983,167.737890770094,139.289267353949,224.587844728961
320,11,4,74,84,73,0.816496580927726,2.21359436211787,0.836660026534076,5650,15631,6136,147.812944854863,820.246792130271,246.915167618354
321,11,3,67,89,70,0.707106781186548,0.447213595499958,0.774596669241483,5018,15767,7012,17.5071414000116,298.214184773293,141.756128615309
322,8,3,73,84,82,1.58113883008419,0.547722557505166,1.14017542509914,2991,15560,12855,80.4891297008484,710.261008362419,886.844405744322
323,7,3,63,80,75,0.577350269189626,0.316227766016838,1,4300,13632,10156,160.877800415926,153.321231406482,70.0049998214413
324,6,3,70,80,79,0.707106781186548,0.774596669241483,1.34164078649987,3159,15024,11093,59.502100803249,371.585252667541,158.80774540305
325,5,3,68,88,86,0,1.30384048104053,0.894427190999916,4078,13463,12002,115.428188353914,236.445765451615,243.432126063919
326,4,3,64,84,80,0,1.51657508881031,1.51657508881031,5394,16442,12551,222.500561797044,1031.50811921187,498.365628830882
327,3,3,75,85,84,0.707106781186548,1.61245154965971,0.547722557505166,5804,14983,18729,59.502100803249,1900.39664280907,2245.92646807503
328,2,3,74,81,81,0,1.4142135623731,1.54919333848297,7401,13824,15607,0,1461.3310713182,390.64305958253
329,1,3,75,76,83,0,0.894427190999916,1.22474487139159,8967,14043,16255,19,495.389039039016,120.712882493958
330,1,4,71,77,84,0.707106781186548,1.87082869338697,1.54919333848297,8706,16225,15337,44.5028089001133,3164.69440862779,365.788736841363
331,1,5,77,72,87,0.707106781186548,1.04880884817015,1.14017542509914,11151,13016,15873,878.500142287979,274.85214206915,437.816285672427
332,1,6,73,76,85,0,0.447213595499958,1.51657508881031,10710,11560,16783,0,348.468649952905,318.78974262043
333,1,7,67,73,87,0.707106781186548,0.948683298050514,1.09544511501033,10681,8340,14670,177,170.281237956505,497.999096384722
334,1,8,84,74,82,0.816496580927726,0.836660026534076,1.14017542509914,12263,8568,15050,535.079121875136,212.342412155462,245.910959495505
335,1,9,81,72,84,0,0.707106781186548,1.48323969741913,12365,6488,14961,54.5022935297222,221.65400966371,1956.4293240493
336,1,10,72,69,83,0,0.632455532033676,1.14017542509914,13155,6768,14613,129.621243114957,222.943490597954,202.814200686244
337,1,11,71,68,87,0.707106781186548,1.37840487520902,1.30384048104053,14157,7217,15636,107.501162784409,308.218104594782,287.186698856336
338,1,12,71,73,83,0.577350269189626,1.04880884817015,1.18321595661992,15659,8331,15939,152.514480186855,503.767803655613,484.276573870758
339,10,4,75,86,74,0,1.14017542509914,1.09544511501033,5833,16235,7864,14,289.507340148743,229.706987268564
340,10,5,71,84,72,0.707106781186548,1.14017542509914,0.774596669241483,7389,15804,6680,197,326.77515205413,230.884386652714
341,10,6,76,79,74,0.816496580927726,1.04880884817015,0.948683298050514,6433,13884,4550,193.323562971512,222.466401957689,259.413569421493
342,10,7,71,81,66,1.58113883008419,1.14017542509914,0.836660026534076,8840,12361,5320,118.501054847626,153.139805406694,126.141587115432
343,10,8,71,87,77,1.29099444873581,1.84390889145858,1.14017542509914,9348,11178,4892,388.59833590311,326.095538147948,196.711972182681
344,10,9,70,84,71,0,1.09544511501033,0.632455532033676,10467,10892,4191,0,279.363741383881,214.057001754206
345,10,12,83,74,72,0.707106781186548,0.774596669241483,1.22474487139159,16883,7797,6510,172,391.314196011338,208.45934855506
346,10,13,73,74,69,0.707106781186548,1.51657508881031,0.632455532033676,16412,8425,5280,197,585.216626558064,406.986486262136
347,10,14,82,81,67,0,1.14017542509914,0.707106781186548,16058,7981,6126,0,278.866993385736,245.746617474178
348,9,14,75,86,68,1.09544511501033,0.632455532033676,0.948683298050514,15570,8319,6997,380.159703282712,227.457248730393,225.176153266726
349,9,13,88,70,74,0,1.54919333848297,0.836660026534076,16517,6954,6775,0,384.342295356626,288.739155640519
350,8,13,79,75,76,0,0.632455532033676,1.26491106406735,14928,6127,8287,827.405785170332,166.370971025597,144.063874722291
351,7,13,77,78,83,0.707106781186548,1.54919333848297,1.4142135623731,15118,5015,9241,195.500639385144,219.701843415116,265.936458576104
352,7,14,77,70,74,0.707106781186548,1.04880884817015,1,15942,4868,8667,231,339.691919244482,233.523018137399
353,7,10,77,74,77,2.70801280154532,0.774596669241483,0.894427190999916,11617,8163,8836,592.098527836936,228.478664211781,240.602576877306
354,7,11,74,72,84,0.707106781186548,1,1.09544511501033,13073,6022,8625,221.500564333367,161.659209450003,315.208185172911
355,8,11,76,78,77,0,0.836660026534076,1.14017542509914,13091,8008,6935,0,231.981249242261,260.862990859186
356,9,11,78,77,81,0,1.04880884817015,0.774596669241483,13126,9640,6176,778.500160565173,467.270264408083,238.36547568807
357,8,12,80,78,77,1,0.948683298050514,0.774596669241483,12743,7155,8184,67,206.621392890475,195.153529304494
358,9,10,81,79,82,1.93649167310371,1.84390889145858,1.67332005306815,12543,8388,5663,336.131298750949,193.927563796382,211.422799149004
359,8,10,80,83,82,0.816496580927726,1.37840487520902,1.54919333848297,12845,8970,6764,351.227371750362,256.844894829545,182.330194976038
360,8,9,70,84,71,0.707106781186548,1.37840487520902,0.774596669241483,10430,11041,4076,37,212.91735485864,178.750944053451
361,9,6,70,80,67,0.707106781186548,0.707106781186548,0.707106781186548,7543,11817,6626,91.5013661100205,240.324156089229,190.380146023686
362,9,5,75,81,75,1.82574185835055,0.894427190999916,0.632455532033676,6290,13663,6457,88.7280489285472,278.094588224942,285.257602878521
363,8,5,73,83,75,0.707106781186548,0.774596669241483,0.547722557505166,5906,12245,7795,101.501231519622,244.425857879235,108.618138448419
364,9,7,71,86,67,0,1.14017542509914,0.632455532033676,8404,13374,5324,0,282.549287735786,150.611088569202
365,9,8,73,87,70,1.15470053837925,1.73205080756888,1.22474487139159,9310,15042,6631,268.292129341631,307.417956534748,234.474518871454
366,8,8,81,86,82,1.48323969741913,0.774596669241483,1.14017542509914,9634,12112,6634,229.075969931375,273.155084155503,340.012499770229
367,8,7,75,79,74,0.816496580927726,1.09544511501033,1,13079,10537,6781,306.055550513301,162.021603497805,140.835009851954
368,7,8,75,78,72,0,0.836660026534076,0.774596669241483,9658,8295,9622,0,105.310018516758,955.572550882454
369,7,7,77,77,77,1.58113883008419,1.04880884817015,1.09544511501033,8351,10056,8122,84.8012381985075,288.257176840404,107.841550433958
370,7,6,67,76,79,0.816496580927726,0.632455532033676,1.04880884817015,6212,9918,8773,77.9444246455982,77.7772460299283,169.718885219059
371,7,5,68,87,77,0.816496580927726,1.34164078649987,0.632455532033676,5010,11222,9334,144.064800234709,200.398103783444,204.684635476139
372,7,4,71,83,83,0.707106781186548,1.14017542509914,1.22474487139159,4513,13341,10102,73,422.178872043592,235.881962006424
373,6,4,69,85,76,0.707106781186548,1,0.836660026534076,5079,14395,10539,78.5015923405379,307.935058088552,214.839474957467
374,6,5,65,84,82,0.816496580927726,0.894427190999916,1.37840487520902,6550,11160,10082,92.4644075667317,329.554396116938,315.342036525421
375,6,6,69,82,77,0.707106781186548,1.34164078649987,1.09544511501033,6986,11125,8573,161.625338360048,258.46256982395,101.719221389077
376,6,7,70,76,73,0,0.632455532033676,1.18321595661992,8040,9115,8987,112.501111105624,120.811009432088,133.313915252685
377,6,8,72,79,81,0.707106781186548,1.30384048104053,0.707106781186548,8890,8292,9890,648.500192752477,136.069467552423,290.214231215494
378,6,9,70,78,77,0,0.632455532033676,1.04880884817015,10388,9401,9256,387.500322580511,408.008945980355,241.105993289259
379,6,10,75,73,74,0.816496580927726,0.774596669241483,0.447213595499958,10821,6948,9584,512.595356982484,208.276258848674,202.358345516067
380,6,11,84,80,87,0.577350269189626,1.58113883008419,1.09544511501033,11340,6462,11218,238.934440101603,169.812249263709,509.521049614243
381,6,12,78,65,77,0.577350269189626,0.547722557505166,0.632455532033676,13444,5881,9981,258.419555503578,275.722686770603,253.838334378399
382,6,13,76,73,85,0.707106781186548,1.8165902124585,1.7606816861659,13400,4137,9882,372.500335570319,365.265382975173,189.174258291132
383,6,14,78,72,79,0,1.44913767461894,1.14017542509914,15586,3899,9905,0,257.286027603521,191.625154924921
384,6,15,74,69,82,0.707106781186548,1.34164078649987,1.04880884817015,16624,3402,10099,101.501231519622,200.845960875493,211.595368569352
385,7,15,80,69,85,0.816496580927726,0.836660026534076,0.707106781186548,16892,5439,9533,199.662214752817,265.400452147316,285.791532414801
386,7,16,79,66,88,1.1180339887499,0.447213595499958,1.04880884817015,16800,4653,12117,76.5702292016943,192.065353460743,2677.12272785541
387,6,16,84,69,83,4,0.948683298050514,1.14017542509914,18159,3035,10519,390.500320102302,235.388402433085,280.554807479751
388,6,17,83,72,86,0.5,1.14017542509914,0.948683298050514,18106,3010,11956,417.368542178253,198.741289117284,269.243941436014
389,7,17,85,71,86,1.22474487139159,1.22474487139159,1.61245154965971,18705,3662,14164,106.477697195234,259.825903250619,584.389938311741
390,7,18,84,71,88,0,0.894427190999916,1.58113883008419,19389,5024,16855,0,418.530763504907,2383.41175628551
391,6,18,82,65,83,1.4142135623731,1.26491106406735,0.894427190999916,18846,3487,16234,207.755264674568,160.424125367726,3075.47882450847
392,6,19,81,72,85,0.816496580927726,1.14017542509914,1.51657508881031,20185,4525,16069,405.857939021361,108.70004599815,760.325785436743
393,7,19,81,64,88,0,0.632455532033676,1.18321595661992,26683,5831,16800,0,268.9514826135,1035.49147751201
394,5,19,83,65,91,1,0.894427190999916,1.58113883008419,20881,3739,15249,1230.50010158472,212.529762621615,865.604008770754
395,5,18,87,65,88,1.91485421551268,1.58113883008419,1.48323969741913,18716,3846,13296,236.731915887993,332.615543834019,291.006700953775
396,5,17,85,69,87,0.816496580927726,0.547722557505166,1.14017542509914,18355,2679,13869,106.739558427667,175.012285283062,529.989716881375
397,5,16,78,56,84,1,0.774596669241483,0.632455532033676,17424,1912,11280,23.5053185470863,103.858557663777,145.771053367944
398,5,15,80,66,76,1.29099444873581,1.26491106406735,1.22474487139159,15608,2123,10773,248.839305576912,145.657474919758,200.745361092106
399,5,14,72,62,82,0,1,0.632455532033676,15070,3495,12096,55.5022522065547,177.208351947644,407.566804340098
400,5,13,70,67,81,0.707106781186548,0.447213595499958,0.447213595499958,13925,5550,12222,11.5108644332213,378.47866518471,154.088610870499
401,5,12,75,70,82,0,0.447213595499958,0.547722557505166,13885,5272,10716,163.647996219528,163.070843500609,117.093125331934
402,5,11,73,78,78,0.816496580927726,1.04880884817015,0.547722557505166,11888,5951,10139,95.8279708644611,178.549712965325,246.211088296202
403,5,10,78,82,76,0.707106781186548,1.22474487139159,0.894427190999916,12034,6047,9848,317,171.104354123441,136.604904743571
404,5,9,70,71,76,0.816496580927726,0.836660026534076,1,10025,7126,10118,97.3892533427927,181.866984359449,215.694691636118
405,5,8,70,78,79,0,1.4142135623731,0.774596669241483,9658,7999,10900,202.50061728301,217.445855329551,112.64324214084
406,5,7,74,77,76,0.816496580927726,1.89736659610103,0.774596669241483,8019,9556,9857,70.7012493996158,358.545812972345,198.513475613118
407,4,6,80,72,80,0,0.774596669241483,0.632455532033676,9598,7371,11616,0,219.049766035027,229.429291939804
408,4,8,81,72,81,1.4142135623731,1.30384048104053,1,9397,7246,11506,409.179259819784,194.047416885667,106.252999957648
409,4,9,72,75,82,0.707106781186548,0.948683298050514,1.04880884817015,12125,6636,11368,35.5035209521535,155.813028980249,210.985781511456
410,4,10,74,72,83,0,0.774596669241483,1.14017542509914,11156,7421,10532,180,244.77847127556,267.154824025321
411,3,10,69,70,83,1,1.04880884817015,1.44913767461894,11703,5431,11560,55,139.713277822833,203.800147203087
412,3,9,73,67,79,1,1.24721912892465,1,10846,6691,12658,73.501700660597,241.24814334346,320.154823657416
413,3,8,74,68,79,0,0.836660026534076,0.836660026534076,10627,7063,13176,22.4499443206436,187.357145580306,150.874782518485
414,3,11,74,70,81,2,1,1.51657508881031,12886,3821,15694,163,117.27489074819,507.297151578836
415,3,12,75,66,83,0.816496580927726,1.04880884817015,1,13198,2876,14121,180.049993057484,169.586556070934,242.225101919681
416,3,13,83,72,86,0.707106781186548,0.707106781186548,1.30384048104053,15806,2354,14610,180,140.610099210547,111.802057226153
417,3,14,83,67,82,0.816496580927726,0.447213595499958,0.632455532033676,16533,1502,13110,197.232519293008,182.630775062693,171.74108419362
418,3,15,72,72,90,0.707106781186548,1.18321595661992,1.14017542509914,16503,899,13819,11,190.56285052444,146.33693997074
419,3,16,84,68,84,0,0.774596669241483,1.04880884817015,17270,1015,14177,0,139.205962515978,250.00259998648
420,3,17,80,62,84,0,1.37840487520902,1.14017542509914,19512,989,14571,1071.27634156645,211.610491233303,198.009595727076
421,3,18,81,65,89,0.816496580927726,0.632455532033676,1.09544511501033,21534,2575,15977,361.613974656216,164.67300932454,636.930294459292
422,3,19,85,68,91,1.15470053837925,0.774596669241483,1.48323969741913,20930,4095,16137,189.027334883962,344.316569453171,172.566219173974
423,4,19,79,69,84,1.63299316185545,0.948683298050514,1.30384048104053,20440,3689,16559,1347.77656407383,129.571601826944,293.551869351909
424,2,12,69,69,81,1,0.632455532033676,1.58113883008419,14676,6559,13654,18.5067555233217,1605.64775090927,300.518551839982
425,2,11,75,65,86,0.577350269189626,0.836660026534076,1.04880884817015,13032,5383,14201,69.2290882986817,164.961207561051,131.998484839789
426,2,10,77,72,78,1.1180339887499,2,0.948683298050514,11981,5819,12973,287.456518451052,260.184165544331,480.862350366506
427,2,9,76,66,78,2.59807621135332,1,1.34164078649987,12299,6464,13079,180.85422306377,174.293143869746,263.024523571472
428,2,7,74,72,83,2.23606797749979,1.09544511501033,0.836660026534076,10455,8007,13781,119.294802904401,158.822227663511,180.72492910498
429,2,6,69,81,83,0.577350269189626,1.54919333848297,1.09544511501033,9414,10541,12864,339.732247512655,125.802623184097,172.849934914654
430,2,5,70,73,87,0.816496580927726,1.04880884817015,0.774596669241483,9353,11006,14376,159.209505578865,147.837410691611,105.665983173394
431,3,5,68,77,85,0.707106781186548,0.774596669241483,1.04880884817015,8736,10748,12791,808.500154607283,237.054635052766,166.381188840566
432,4,4,77,80,83,0.707106781186548,1.09544511501033,1.04880884817015,6931,13427,14259,564,126.523120416784,276.90774637052
433,3,4,73,80,82,0,1.04880884817015,0.948683298050514,7067,12404,13460,0,112.292475259921,178.892146278142
434,0,12,77,66,81,0,1,0.707106781186548,14793,5543,14888,0,107.230126363816,180.860443436369
435,0,8,72,77,83,1,2.19089023002066,1.04880884817015,12704,9142,17056,159.500783697134,859.471930897106,1041.04106547244
436,0,5,78,81,81,0.816496580927726,1.7606816861659,1.34164078649987,9650,11496,16062,358.038173011389,420.593390342739,316.77073728487
437,0,3,72,85,76,0.816496580927726,0.836660026534076,1.22474487139159,9131,13657,19020,77.3110600108419,167.790047380648,421.117798246524
438,0,1,77,82,83,1.91485421551268,1.37840487520902,1.04880884817015,10677,14708,17991,2576.13819505088,150.157916874203,256.273486728534
439,2,13,73,70,87,0,1.4142135623731,1.84390889145858,15524,3158,13753,134,368.254259988938,212.348769716238
440,2,16,72,68,77,0,1.18321595661992,1.04880884817015,17664,-128,14394,0,134.224811417264,186.727073559246
441,0,16,82,61,80,2.54950975679639,1.26491106406735,1.14017542509914,20361,3114,16323,337.500370370167,208.788888593239,435.109756268462
442,0,18,80,65,83,0,1.04880884817015,1.09544511501033,22640,3974,19082,204,191.215585138869,95.3740006500724
443,2,18,75,72,79,0.577350269189626,1.18321595661992,0.836660026534076,19562,2859,14999,276.727302592281,264.403479553504,244.247210833614
